(*i).x    (*i).y    (*i).heading(*(i+1))    deg    (*i).yaw    deg-(*i).yaw
3058    6141    5.54838    317.899    8.9    128.999
2983    6224    5.54178    317.521    9.2    128.321
2907    6307    5.54537    317.726    9.2    128.526
2827    6395    5.55163    318.085    9.2    128.885
2748    6483    5.54594    317.759    9.1    128.659
2669    6570    5.55228    318.122    8.4    129.722
2591    6657    5.55163    318.085    9    129.085
2512    6745    5.55163    318.085    8.9    129.185
2433    6833    5.54838    317.899    9    128.899
2358    6916    5.54124    317.49    8.9    128.59
2281    7000    5.54775    317.862    9.3    128.562
2205    7084    5.54775    317.862    9.3    128.562
2129    7168    5.54178    317.521    9.3    128.221
2053    7251    5.54838    317.899    9.6    128.299
1978    7334    5.55433    318.24    8.7    129.54
1903    7418    5.55228    318.122    8.7    129.422
1825    7505    5.53392    317.07    9.4    127.67
1745    7591    5.53968    317.4    9.8    127.6
1665    7678    5.54594    317.759    9.4    128.359
1586    7765    5.55228    318.122    8.8    129.322
1508    7852    5.54653    317.793    8.8    128.993
1430    7938    5.55295    318.16    9.3    128.86
1353    8024    5.54594    317.759    8.6    129.159
1274    8111    5.54019    317.429    9.3    128.129
1195    8197    5.54713    317.827    9.2    128.627
1118    8282    5.54838    317.899    8.9    128.999
1043    8365    5.53574    317.175    9.9    127.275
967    8447    5.55363    318.2    9.4    128.8
891    8532    5.54071    317.459    8.7    128.759
813    8617    5.54653    317.793    9.4    128.393
735    8703    6.03601    345.838    7.7    158.138
708    8810    0.63832    36.573    312.1    95.527
777    8903    1.0951    62.7447    279.5    36.7553
876    8954    1.98468    113.714    233.4    60.3136
983    8907    2.28572    130.962    202    108.962
1074    8828    2.39189    137.045    191.6    125.445
1155    8741    2.40878    138.013    189.3    128.713
1236    8651    2.40322    137.694    189.2    128.494
1317    8562    2.4094    138.048    188.9    129.148
1397    8473    2.40378    137.726    189.6    128.126
1477    8385    2.40494    137.793    189.1    128.693
1555    8299    2.40615    137.862    189.1    128.762
1631    8215    2.40019    137.521    189.2    128.321
1707    8132    2.40019    137.521    189.5    128.021
1783    8049    2.39965    137.49    189.3    128.19
1860    7965    2.39965    137.49    188.8    128.69
1937    7881    2.40494    137.793    189.1    128.693
2015    7795    2.40554    137.827    189.2    128.627
2092    7710    2.40554    137.827    188.9    128.927
2169    7625    2.41861    138.576    189    129.576
2244    7540    2.39415    137.175    189.6    127.575
2320    7458    2.40678    137.899    189.3    128.599
2395    7375    2.41003    138.085    189    129.085
2474    7287    2.41003    138.085    189.3    128.785
2553    7199    2.40322    137.694    188.6    129.094
2634    7110    2.40378    137.726    189.8    127.926
2714    7022    2.39809    137.4    189.1    128.3
2794    6935    2.40494    137.793    189.5    128.293
2872    6849    2.39911    137.459    189.2    128.259
2950    6764    2.40554    137.827    189    128.827
3027    6679    2.41274    138.24    188.8    129.44
3102    6595    2.41204    138.2    189.1    129.1
3178    6510    2.39965    137.49    188.7    128.79
3255    6426    2.40554    137.827    189.4    128.427
3332    6341    2.41204    138.2    188.9    129.3
3408    6256    2.40494    137.793    188.6    129.193
3486    6170    2.39911    137.459    189.8    127.659
3564    6085    2.39965    137.49    189.2    128.29
3641    6001    2.39911    137.459    189.8    127.659
3719    5916    2.41135    138.16    189.4    128.76
3796    5830    2.39276    137.095    189    128.095
3875    5745    2.39368    137.148    189.8    127.348
3952    5662    2.41709    138.489    188.8    129.689
4029    5575    2.41636    138.447    188.6    129.847
4107    5487    2.40435    137.759    188.8    128.959
4186    5400    2.41069    138.122    188.8    129.322
4264    5313    2.39859    137.429    189    128.429
4343    5227    2.41135    138.16    189.5    128.66
4420    5141    2.40494    137.793    188.6    129.193
4498    5055    2.39911    137.459    189.6    127.859
4576    4970    2.40378    137.726    189    128.726
4656    4882    2.40322    137.694    188.9    128.794
4737    4793    2.4094    138.048    189    129.048
4817    4704    2.41069    138.122    189.1    129.022
4895    4617    2.39321    137.121    189.6    127.521
4973    4533    2.40678    137.899    189.2    128.699
5048    4450    2.40019    137.521    189.2    128.321
5124    4367    2.40678    137.899    189.3    128.599
5199    4284    2.40378    137.726    188.5    129.226
5279    4196    2.41003    138.085    189.5    128.585
5358    4108    2.40322    137.694    189.2    128.494
5439    4019    2.41274    138.24    189.2    129.04
5514    3935    2.40554    137.827    188.6    129.227
5591    3850    2.41135    138.16    189.1    129.06
5668    3764    2.40494    137.793    189.1    128.693
5746    3678    2.40494    137.793    188.7    129.093
5824    3592    2.39859    137.429    189.1    128.329
5903    3506    2.41135    138.16    188.8    129.36
5980    3420    2.38763    136.801    189.3    127.501
6057    3338    2.39368    137.148    189.8    127.348
6134    3255    2.42441    138.909    188.7    130.209
6209    3169    2.41135    138.16    188.4    129.76
6286    3083    2.39809    137.4    189.1    128.3
6366    2996    2.39759    137.372    188.8    128.572
