(*i).x    (*i).y    (*i).heading(*(i+1))    deg    (*i).yaw    deg-(*i).yaw
8450    3137    4.50807    258.294    69.2    9.09356
8339    3114    4.49757    257.692    68.7    8.99198
8229    3090    4.51338    258.598    68.9    9.69751
8110    3066    4.50361    258.038    69    9.03795
7992    3041    4.49945    257.8    68.7    9.09953
7881    3017    4.50985    258.395    68.9    9.49524
7769    2994    4.50807    258.294    68.9    9.39356
7658    2971    4.5013    257.905    68.9    9.00524
7546    2947    4.49945    257.8    68.8    8.99953
7435    2923    4.50361    258.038    69    9.03795
7317    2898    4.50807    258.294    68.7    9.59356
7206    2875    4.49945    257.8    69    8.79953
7095    2851    4.50311    258.009    69    9.00917
6982    2827    4.50985    258.395    68.6    9.79524
6870    2804    4.50985    258.395    68.7    9.69524
6758    2781    4.5013    257.905    68.8    9.10524
6646    2757    4.50807    258.294    68.8    9.49356
6535    2734    4.49757    257.692    68.9    8.79198
6425    2710    4.51499    258.69    69.1    9.59007
6315    2688    4.50361    258.038    68.6    9.43795
6197    2663    4.50188    257.939    69.4    8.53869
6080    2638    4.50361    258.038    69.1    8.93795
5962    2613    4.50188    257.939    68.6    9.33869
5845    2588    4.51007    258.408    69.1    9.30782
5728    2564    4.50188    257.939    68.3    9.63869
5611    2539    4.50807    258.294    69    9.29356
5500    2516    4.51159    258.495    68.5    9.99518
5387    2493    4.51007    258.408    69.5    8.90782
5270    2469    4.50012    257.838    68.3    9.5378
5154    2444    4.50837    258.311    69.2    9.11063
5038    2420    4.50665    258.212    68.6    9.61182
4923    2396    4.50665    258.212    68.4    9.81182
4808    2372    4.50012    257.838    68.5    9.3378
4692    2347    4.49833    257.735    69.6    8.13523
4577    2322    4.50665    258.212    69.1    9.11182
4462    2298    4.50807    258.294    68.7    9.59356
4351    2275    4.50837    258.311    69.1    9.21063
4235    2251    4.51499    258.69    67.8    10.8901
4120    2228    4.51159    258.495    68.8    9.69518
4007    2205    4.50665    258.212    68.7    9.51182
3892    2181    4.50489    258.111    68.9    9.21134
3778    2157    4.50311    258.009    68.5    9.50917
3665    2133    4.50489    258.111    69    9.11134
3551    2109    4.50807    258.294    69.2    9.09356
3440    2086    4.49757    257.692    68.5    9.19198
3330    2062    4.50311    258.009    69.6    8.40917
3217    2038    4.50489    258.111    68.9    9.21134
3103    2014    4.51159    258.495    68.6    9.89518
2990    1991    4.50807    258.294    68.8    9.49356
2879    1968    4.13187    236.739    68.7    11.9614
2786    1907    3.27984    187.921    117.2    109.279
2770    1792    2.85354    163.496    155.7    172.204
2802    1684    2.16887    124.267    177.7    126.567
2893    1622    1.4746    84.4885    222.5    41.9885
3007    1633    1.28182    73.4429    253.9    0.457071
3118    1666    1.31303    75.2308    252.3    2.9308
3228    1695    1.34071    76.817    251    5.81703
3339    1721    1.35786    77.7995    249.3    8.49953
3450    1745    1.36152    78.0092    249.4    8.60917
3563    1769    1.35118    77.417    249.1    8.31704
3675    1794    1.3633    78.1113    249.4    8.71134
3789    1818    1.36505    78.2118    248.9    9.31182
3904    1842    1.36505    78.2118    248.8    9.41182
4019    1866    1.37    78.4952    248.7    9.79518
4132    1889    1.37    78.4952    248.3    10.1952
4245    1912    1.35786    77.7995    248.9    8.89953
4356    1936    1.36152    78.0092    249    9.00917
4469    1960    1.37    78.4952    248.8    9.69518
4582    1983    1.35786    77.7995    249.1    8.69953
4693    2007    1.37513    78.7894    248.6    10.1894
4804    2029    1.35786    77.7995    249.2    8.59953
4915    2053    1.36826    78.3952    248.8    9.59524
5027    2076    1.36826    78.3952    248.9    9.49524
5139    2099    1.35492    77.6309    249.1    8.53094
5253    2124    1.36505    78.2118    249.1    9.11182
5368    2148    1.36152    78.0092    248.8    9.20917
5481    2172    1.36847    78.4078    249    9.40782
5598    2196    1.36202    78.0379    248.5    9.53795
5716    2221    1.36467    78.1901    248.9    9.29012
5826    2244    1.36202    78.0379    248.9    9.13795
5944    2269    1.36678    78.3106    248.8    9.51063
6060    2293    1.37669    78.8785    248.5    10.3785
6177    2316    1.36372    78.1356    248.5    9.63561
6296    2341    1.3597    77.9052    249.1    8.80524
6408    2365    1.36029    77.9387    248.9    9.03869
6525    2390    1.35853    77.8378    248.8    9.0378
6641    2415    1.36505    78.2118    248.9    9.31182
6756    2439    1.36505    78.2118    248.8    9.41182
6871    2463    1.36505    78.2118    248.7    9.51182
6986    2487    1.36505    78.2118    249    9.21182
7101    2511    1.36029    77.9387    248.7    9.23869
7218    2536    1.36202    78.0379    249.3    8.73795
7336    2561    1.36029    77.9387    248.9    9.03869
7453    2586    1.36202    78.0379    248.9    9.13795
7571    2611    1.36029    77.9387    249.1    8.83869
7688    2636    1.36847    78.4078    248.6    9.80782
7805    2660    1.36678    78.3106    248.8    9.51063
7921    2684    1.36505    78.2118    248.6    9.61182
